WHO_REGION,ISO,Country
EUR,MCO,Monaco
WPR,MNG,Mongolia
EUR,MNE,Montenegro
EMR,MAR,Morocco
AFR,MOZ,Mozambique
SEAR,MMR,Myanmar
AFR,NAM,Namibia
WPR,NRU,Nauru
SEAR,NPL,Nepal
EUR,NLD,Netherlands (the)
WPR,NZL,New Zealand
AMR,NIC,Nicaragua
AFR,NER,Niger (the)
AFR,NGA,Nigeria
WPR,NIU,Niue
EUR,NOR,Norway
EMR,OMN,Oman
EMR,PAK,Pakistan
WPR,PLW,Palau
AMR,PAN,Panama
WPR,PNG,Papua New Guinea
AMR,PRY,Paraguay
AMR,PER,Peru
WPR,PHL,Philippines (the)
EUR,POL,Poland
EUR,PRT,Portugal
EMR,QAT,Qatar
WPR,KOR,Republic of Korea (the)
EUR,MDA,Republic of Moldova (the)
EUR,ROU,Romania
EUR,RUS,Russian Federation (the)
AFR,RWA,Rwanda
AMR,KNA,Saint Kitts and Nevis
AMR,LCA,Saint Lucia
AMR,VCT,Saint Vincent and the Grenadines
WPR,WSM,Samoa
EUR,SMR,San Marino
AFR,STP,Sao Tome and Principe
EMR,SAU,Saudi Arabia
AFR,SEN,Senegal
EUR,SRB,Serbia
AFR,SYC,Seychelles
AFR,SLE,Sierra Leone
WPR,SGP,Singapore
EUR,SVK,Slovakia
EUR,SVN,Slovenia
WPR,SLB,Solomon Islands
EMR,SOM,Somalia
AFR,ZAF,South Africa
AFR,SSD,South Sudan
EUR,ESP,Spain
SEAR,LKA,Sri Lanka
EMR,SDN,Sudan (the)
AMR,SUR,Suriname
AFR,SWZ,Swaziland
EUR,SWE,Sweden
EUR,CHE,Switzerland
EMR,SYR,Syrian Arab Republic (the)
EUR,TJK,Tajikistan
SEAR,THA,Thailand
EUR,MKD,The former Yugoslav Republic of Macedonia
SEAR,TLS,Timor-Leste
AFR,TGO,Togo
WPR,TON,Tonga
AMR,TTO,Trinidad and Tobago
EMR,TUN,Tunisia
EUR,TUR,Turkey
EUR,TKM,Turkmenistan
WPR,TUV,Tuvalu
AFR,UGA,Uganda
EUR,UKR,Ukraine
EMR,ARE,United Arab Emirates (the)
EUR,GBR,United Kingdom of Great Britain and Northern Ireland (the)
AFR,TZA,United Republic of Tanzania
AMR,USA,United States of America (the)
AMR,URY,Uruguay
EUR,UZB,Uzbekistan
WPR,VUT,Vanuatu
AMR,VEN,Venezuela (Bolivarian Republic of)
WPR,VNM,Viet Nam
EMR,YEM,Yemen
AFR,ZMB,Zambia
AFR,ZWE,Zimbabwe
